time_index,lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,lagging_current_power_factor,leading_current_power_factor,nsm,month,day,hour,day_of_week_num,weekstatus_weekday,weekstatus_weekend,day_of_week_friday,day_of_week_monday,day_of_week_saturday,day_of_week_sunday,day_of_week_thursday,day_of_week_tuesday,day_of_week_wednesday,usage_kwh
41,0.0,22.32,100.0,17.94,36900,1,1,10,0,1,0,0,1,0,0,0,0,0,4.07
42,0.0,18.0,100.0,20.19,37800,1,1,10,0,1,0,0,1,0,0,0,0,0,3.71
43,0.0,16.92,100.0,20.81,38700,1,1,10,0,1,0,0,1,0,0,0,0,0,3.6
44,0.0,23.4,100.0,17.71,39600,1,1,11,0,1,0,0,1,0,0,0,0,0,4.21
45,0.0,5.65,100.0,52.55,40500,1,1,11,0,1,0,0,1,0,0,0,0,0,3.49
46,0.0,4.82,100.0,58.31,41400,1,1,11,0,1,0,0,1,0,0,0,0,0,3.46
47,0.0,6.7,100.0,51.26,42300,1,1,11,0,1,0,0,1,0,0,0,0,0,4.0
48,0.0,4.57,100.0,60.69,43200,1,1,12,0,1,0,0,1,0,0,0,0,0,3.49
49,0.0,12.89,100.0,26.9,44100,1,1,12,0,1,0,0,1,0,0,0,0,0,3.6
50,0.0,23.15,100.0,18.06,45000,1,1,12,0,1,0,0,1,0,0,0,0,0,4.25
51,0.0,16.67,100.0,21.5,45900,1,1,12,0,1,0,0,1,0,0,0,0,0,3.67
52,0.0,16.63,100.0,21.55,46800,1,1,13,0,1,0,0,1,0,0,0,0,0,3.67
53,0.0,23.33,100.0,17.92,47700,1,1,13,0,1,0,0,1,0,0,0,0,0,4.25
54,0.0,16.74,100.0,21.25,48600,1,1,13,0,1,0,0,1,0,0,0,0,0,3.64
55,0.0,16.99,100.0,21.11,49500,1,1,13,0,1,0,0,1,0,0,0,0,0,3.67
56,0.0,23.4,100.0,17.99,50400,1,1,14,0,1,0,0,1,0,0,0,0,0,4.28
57,0.0,16.67,100.0,21.33,51300,1,1,14,0,1,0,0,1,0,0,0,0,0,3.64
58,0.0,18.25,100.0,20.28,52200,1,1,14,0,1,0,0,1,0,0,0,0,0,3.78
59,0.0,22.1,100.0,18.24,53100,1,1,14,0,1,0,0,1,0,0,0,0,0,4.1
60,0.0,16.7,100.0,21.3,54000,1,1,15,0,1,0,0,1,0,0,0,0,0,3.64
61,0.0,19.33,100.0,19.87,54900,1,1,15,0,1,0,0,1,0,0,0,0,0,3.92
62,0.0,21.35,100.0,18.86,55800,1,1,15,0,1,0,0,1,0,0,0,0,0,4.1
63,0.0,16.81,100.0,20.94,56700,1,1,15,0,1,0,0,1,0,0,0,0,0,3.6
64,0.0,20.45,100.0,19.01,57600,1,1,16,0,1,0,0,1,0,0,0,0,0,3.96
65,0.0,20.77,100.0,18.91,58500,1,1,16,0,1,0,0,1,0,0,0,0,0,4.0
66,0.0,16.81,100.0,20.94,59400,1,1,16,0,1,0,0,1,0,0,0,0,0,3.6
67,0.0,21.64,100.0,18.48,60300,1,1,16,0,1,0,0,1,0,0,0,0,0,4.07
68,0.0,19.19,100.0,19.52,61200,1,1,17,0,1,0,0,1,0,0,0,0,0,3.82
69,0.0,16.96,100.0,20.54,62100,1,1,17,0,1,0,0,1,0,0,0,0,0,3.56
70,0.0,23.51,100.0,17.18,63000,1,1,17,0,1,0,0,1,0,0,0,0,0,4.1
71,0.0,17.39,100.0,20.27,63900,1,1,17,0,1,0,0,1,0,0,0,0,0,3.6
72,0.0,17.35,100.0,20.32,64800,1,1,18,0,1,0,0,1,0,0,0,0,0,3.6
73,0.0,8.96,100.0,40.77,65700,1,1,18,0,1,0,0,1,0,0,0,0,0,4.0
74,0.0,5.47,100.0,53.01,66600,1,1,18,0,1,0,0,1,0,0,0,0,0,3.42
75,0.0,16.24,100.0,22.04,67500,1,1,18,0,1,0,0,1,0,0,0,0,0,3.67
76,0.0,22.57,100.0,17.75,68400,1,1,19,0,1,0,0,1,0,0,0,0,0,4.07
77,0.0,17.39,100.0,19.89,69300,1,1,19,0,1,0,0,1,0,0,0,0,0,3.53
78,0.0,20.74,100.0,18.25,70200,1,1,19,0,1,0,0,1,0,0,0,0,0,3.85
79,0.0,20.88,100.0,18.63,71100,1,1,19,0,1,0,0,1,0,0,0,0,0,3.96
80,0.0,17.35,100.0,20.1,72000,1,1,20,0,1,0,0,1,0,0,0,0,0,3.56
81,0.0,22.54,100.0,17.6,72900,1,1,20,0,1,0,0,1,0,0,0,0,0,4.03
82,0.0,19.55,100.0,18.79,73800,1,1,20,0,1,0,0,1,0,0,0,0,0,3.74
83,0.0,17.42,100.0,20.02,74700,1,1,20,0,1,0,0,1,0,0,0,0,0,3.56
84,0.0,24.26,100.0,17.1,75600,1,1,21,0,1,0,0,1,0,0,0,0,0,4.21
85,0.0,17.75,100.0,19.66,76500,1,1,21,0,1,0,0,1,0,0,0,0,0,3.56
86,0.0,17.42,100.0,19.86,77400,1,1,21,0,1,0,0,1,0,0,0,0,0,3.53
87,0.0,25.2,100.0,16.63,78300,1,1,21,0,1,0,0,1,0,0,0,0,0,4.25
88,0.0,17.5,100.0,19.77,79200,1,1,22,0,1,0,0,1,0,0,0,0,0,3.53
89,1.44,10.08,92.7,33.3,80100,1,1,22,0,1,0,0,1,0,0,0,0,0,3.56
90,4.21,0.0,65.71,100.0,81000,1,1,22,0,1,0,0,1,0,0,0,0,0,3.67
91,3.35,0.0,69.52,100.0,81900,1,1,22,0,1,0,0,1,0,0,0,0,0,3.24
92,3.74,0.0,68.64,100.0,82800,1,1,23,0,1,0,0,1,0,0,0,0,0,3.53
93,3.42,0.0,71.82,100.0,83700,1,1,23,0,1,0,0,1,0,0,0,0,0,3.53
94,2.95,0.0,73.94,100.0,84600,1,1,23,0,1,0,0,1,0,0,0,0,0,3.24
95,3.96,0.0,67.97,100.0,85500,1,1,23,0,1,0,0,1,0,0,0,0,0,3.67
96,3.46,0.0,70.3,100.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3.42
97,3.1,0.0,71.82,100.0,900,1,2,0,1,1,0,0,0,0,0,0,1,0,3.2
98,4.61,0.0,64.1,100.0,1800,1,2,0,1,1,0,0,0,0,0,0,1,0,3.85
99,3.67,0.0,66.64,100.0,2700,1,2,0,1,1,0,0,0,0,0,0,1,0,3.28
100,3.6,0.0,68.12,100.0,3600,1,2,1,1,1,0,0,0,0,0,0,1,0,3.35
101,4.72,0.0,63.6,100.0,4500,1,2,1,1,1,0,0,0,0,0,0,1,0,3.89
102,3.53,0.0,68.07,100.0,5400,1,2,1,1,1,0,0,0,0,0,0,1,0,3.28
103,3.96,0.0,65.8,100.0,6300,1,2,1,1,1,0,0,0,0,0,0,1,0,3.46
104,4.82,0.0,61.71,100.0,7200,1,2,2,1,1,0,0,0,0,0,0,1,0,3.78
105,3.53,0.0,68.4,100.0,8100,1,2,2,1,1,0,0,0,0,0,0,1,0,3.31
106,4.36,0.0,63.67,100.0,9000,1,2,2,1,1,0,0,0,0,0,0,1,0,3.6
107,4.39,0.0,63.83,100.0,9900,1,2,2,1,1,0,0,0,0,0,0,1,0,3.64
108,3.71,0.0,66.24,100.0,10800,1,2,3,1,1,0,0,0,0,0,0,1,0,3.28
109,4.57,0.0,63.03,100.0,11700,1,2,3,1,1,0,0,0,0,0,0,1,0,3.71
110,4.03,0.0,66.21,100.0,12600,1,2,3,1,1,0,0,0,0,0,0,1,0,3.56
111,3.49,0.0,68.04,100.0,13500,1,2,3,1,1,0,0,0,0,0,0,1,0,3.24
112,4.64,0.0,64.25,100.0,14400,1,2,4,1,1,0,0,0,0,0,0,1,0,3.89
113,3.42,0.0,69.22,100.0,15300,1,2,4,1,1,0,0,0,0,0,0,1,0,3.28
114,3.49,0.0,68.48,100.0,16200,1,2,4,1,1,0,0,0,0,0,0,1,0,3.28
115,4.68,0.0,64.59,100.0,17100,1,2,4,1,1,0,0,0,0,0,0,1,0,3.96
116,3.42,0.0,68.77,100.0,18000,1,2,5,1,1,0,0,0,0,0,0,1,0,3.24
117,3.78,0.0,67.52,100.0,18900,1,2,5,1,1,0,0,0,0,0,0,1,0,3.46
118,4.07,0.0,66.97,100.0,19800,1,2,5,1,1,0,0,0,0,0,0,1,0,3.67
119,3.42,0.0,68.77,100.0,20700,1,2,5,1,1,0,0,0,0,0,0,1,0,3.24
120,3.96,0.0,67.97,100.0,21600,1,2,6,1,1,0,0,0,0,0,0,1,0,3.67
121,3.78,0.0,68.25,100.0,22500,1,2,6,1,1,0,0,0,0,0,0,1,0,3.53
122,3.24,0.0,70.27,100.0,23400,1,2,6,1,1,0,0,0,0,0,0,1,0,3.2
123,4.07,0.0,68.05,100.0,24300,1,2,6,1,1,0,0,0,0,0,0,1,0,3.78
124,3.35,0.0,70.71,100.0,25200,1,2,7,1,1,0,0,0,0,0,0,1,0,3.35
125,3.49,0.0,71.11,100.0,26100,1,2,7,1,1,0,0,0,0,0,0,1,0,3.53
126,4.57,0.0,80.95,100.0,27000,1,2,7,1,1,0,0,0,0,0,0,1,0,6.3
127,4.79,0.0,78.4,100.0,27900,1,2,7,1,1,0,0,0,0,0,0,1,0,6.05
128,4.54,0.0,82.9,100.0,28800,1,2,8,1,1,0,0,0,0,0,0,1,0,6.73
129,18.83,0.07,83.89,100.0,29700,1,2,8,1,1,0,0,0,0,0,0,1,0,29.02
130,28.66,0.0,84.97,100.0,30600,1,2,8,1,1,0,0,0,0,0,0,1,0,46.19
131,35.32,0.0,82.75,100.0,31500,1,2,8,1,1,0,0,0,0,0,0,1,0,52.06
132,12.53,0.11,97.6,100.0,32400,1,2,9,1,1,0,0,0,0,0,0,1,0,56.2
133,8.32,0.0,98.95,100.0,33300,1,2,9,1,1,0,0,0,0,0,0,1,0,56.84
134,4.54,0.94,99.61,99.98,34200,1,2,9,1,1,0,0,0,0,0,0,1,0,51.26
135,2.34,1.15,99.88,99.97,35100,1,2,9,1,1,0,0,0,0,0,0,1,0,48.13
136,7.06,0.54,99.12,99.99,36000,1,2,10,1,1,0,0,0,0,0,0,1,0,52.81
137,7.52,0.14,99.07,100.0,36900,1,2,10,1,1,0,0,0,0,0,0,1,0,54.79
138,8.35,0.11,98.79,100.0,37800,1,2,10,1,1,0,0,0,0,0,0,1,0,53.21
139,32.4,0.0,92.72,100.0,38700,1,2,10,1,1,0,0,0,0,0,0,1,0,80.21
140,25.49,0.0,95.0,100.0,39600,1,2,11,1,1,0,0,0,0,0,0,1,0,77.58
141,70.85,0.0,87.57,100.0,40500,1,2,11,1,1,0,0,0,0,0,0,1,0,128.52
142,78.48,0.0,87.87,100.0,41400,1,2,11,1,1,0,0,0,0,0,0,1,0,144.47
143,54.29,0.0,85.84,100.0,42300,1,2,11,1,1,0,0,0,0,0,0,1,0,90.86
144,66.06,0.0,88.15,100.0,43200,1,2,12,1,1,0,0,0,0,0,0,1,0,123.3
145,5.54,18.9,96.09,71.3,44100,1,2,12,1,1,0,0,0,0,0,0,1,0,19.22
146,0.0,25.92,100.0,31.03,45000,1,2,12,1,1,0,0,0,0,0,0,1,0,8.46
147,0.0,25.34,100.0,30.92,45900,1,2,12,1,1,0,0,0,0,0,0,1,0,8.24
148,0.0,25.49,100.0,30.05,46800,1,2,13,1,1,0,0,0,0,0,0,1,0,8.03
149,27.29,6.52,94.6,99.67,47700,1,2,13,1,1,0,0,0,0,0,0,1,0,79.67
150,46.8,0.0,90.21,100.0,48600,1,2,13,1,1,0,0,0,0,0,0,1,0,97.85
151,49.79,0.0,92.85,100.0,49500,1,2,13,1,1,0,0,0,0,0,0,1,0,124.45
152,43.34,0.0,92.88,100.0,50400,1,2,14,1,1,0,0,0,0,0,0,1,0,108.61
153,55.26,0.0,91.23,100.0,51300,1,2,14,1,1,0,0,0,0,0,0,1,0,123.12
154,53.5,0.0,92.38,100.0,52200,1,2,14,1,1,0,0,0,0,0,0,1,0,129.1
155,27.58,0.0,94.79,100.0,53100,1,2,14,1,1,0,0,0,0,0,0,1,0,82.08
156,60.91,0.0,92.09,100.0,54000,1,2,15,1,1,0,0,0,0,0,0,1,0,143.89
157,34.27,0.0,93.03,100.0,54900,1,2,15,1,1,0,0,0,0,0,0,1,0,86.9
158,62.57,0.0,91.45,100.0,55800,1,2,15,1,1,0,0,0,0,0,0,1,0,141.44
159,52.88,0.0,91.06,100.0,56700,1,2,15,1,1,0,0,0,0,0,0,1,0,116.53
160,61.16,0.0,90.4,100.0,57600,1,2,16,1,1,0,0,0,0,0,0,1,0,129.31
161,56.77,0.0,92.33,100.0,58500,1,2,16,1,1,0,0,0,0,0,0,1,0,136.44
162,34.85,0.0,92.64,100.0,59400,1,2,16,1,1,0,0,0,0,0,0,1,0,85.72
163,65.27,0.0,91.44,100.0,60300,1,2,16,1,1,0,0,0,0,0,0,1,0,147.46
164,30.78,0.0,94.27,100.0,61200,1,2,17,1,1,0,0,0,0,0,0,1,0,86.94
165,25.81,0.0,93.36,100.0,62100,1,2,17,1,1,0,0,0,0,0,0,1,0,67.25
166,50.04,0.0,91.79,100.0,63000,1,2,17,1,1,0,0,0,0,0,0,1,0,115.78
167,34.63,0.0,95.62,100.0,63900,1,2,17,1,1,0,0,0,0,0,0,1,0,113.11
168,11.74,1.04,98.85,99.99,64800,1,2,18,1,1,0,0,0,0,0,0,1,0,76.75
169,15.23,0.14,93.98,100.0,65700,1,2,18,1,1,0,0,0,0,0,0,1,0,41.9
170,19.94,0.0,88.24,100.0,66600,1,2,18,1,1,0,0,0,0,0,0,1,0,37.4
171,8.82,0.5,97.68,99.99,67500,1,2,18,1,1,0,0,0,0,0,0,1,0,40.25
172,1.98,1.58,99.84,99.9,68400,1,2,19,1,1,0,0,0,0,0,0,1,0,34.92
173,6.44,0.43,98.81,99.99,69300,1,2,19,1,1,0,0,0,0,0,0,1,0,41.36
174,2.52,1.37,99.76,99.93,70200,1,2,19,1,1,0,0,0,0,0,0,1,0,35.96
175,5.29,0.47,99.11,99.99,71100,1,2,19,1,1,0,0,0,0,0,0,1,0,39.42
176,4.68,0.5,99.26,99.99,72000,1,2,20,1,1,0,0,0,0,0,0,1,0,38.16
177,1.51,3.96,99.9,99.3,72900,1,2,20,1,1,0,0,0,0,0,0,1,0,33.23
178,0.0,12.13,100.0,90.55,73800,1,2,20,1,1,0,0,0,0,0,0,1,0,25.88
179,0.0,23.22,100.0,42.3,74700,1,2,20,1,1,0,0,0,0,0,0,1,0,10.84
180,0.0,23.51,100.0,36.75,75600,1,2,21,1,1,0,0,0,0,0,0,1,0,9.29
181,0.0,25.16,100.0,26.73,76500,1,2,21,1,1,0,0,0,0,0,0,1,0,6.98
182,0.0,26.5,100.0,18.93,77400,1,2,21,1,1,0,0,0,0,0,0,1,0,5.11
183,0.0,26.42,100.0,18.88,78300,1,2,21,1,1,0,0,0,0,0,0,1,0,5.08
184,0.0,26.46,100.0,18.71,79200,1,2,22,1,1,0,0,0,0,0,0,1,0,5.04
185,1.84,15.44,93.69,30.42,80100,1,2,22,1,1,0,0,0,0,0,0,1,0,4.93
186,5.22,0.0,66.44,100.0,81000,1,2,22,1,1,0,0,0,0,0,0,1,0,4.64
187,5.18,0.0,67.04,100.0,81900,1,2,22,1,1,0,0,0,0,0,0,1,0,4.68
188,5.11,0.0,67.54,100.0,82800,1,2,23,1,1,0,0,0,0,0,0,1,0,4.68
189,4.54,0.0,70.94,100.0,83700,1,2,23,1,1,0,0,0,0,0,0,1,0,4.57
190,4.25,0.0,73.23,100.0,84600,1,2,23,1,1,0,0,0,0,0,0,1,0,4.57
191,4.25,0.0,73.0,100.0,85500,1,2,23,1,1,0,0,0,0,0,0,1,0,4.54
192,4.21,0.0,73.84,100.0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,4.61
193,4.61,0.0,70.71,100.0,900,1,3,0,2,1,0,0,0,0,0,0,0,1,4.61
194,4.54,0.0,71.25,100.0,1800,1,3,0,2,1,0,0,0,0,0,0,0,1,4.61
195,4.5,0.0,71.25,100.0,2700,1,3,0,2,1,0,0,0,0,0,0,0,1,4.57
196,4.61,0.0,70.4,100.0,3600,1,3,1,2,1,0,0,0,0,0,0,0,1,4.57
197,4.46,0.0,72.1,100.0,4500,1,3,1,2,1,0,0,0,0,0,0,0,1,4.64
198,4.57,0.0,71.25,100.0,5400,1,3,1,2,1,0,0,0,0,0,0,0,1,4.64
199,4.79,0.0,69.34,100.0,6300,1,3,1,2,1,0,0,0,0,0,0,0,1,4.61
200,4.5,0.0,71.25,100.0,7200,1,3,2,2,1,0,0,0,0,0,0,0,1,4.57
201,4.39,0.0,72.42,100.0,8100,1,3,2,2,1,0,0,0,0,0,0,0,1,4.61
202,4.75,0.0,69.88,100.0,9000,1,3,2,2,1,0,0,0,0,0,0,0,1,4.64
203,4.75,0.0,69.88,100.0,9900,1,3,2,2,1,0,0,0,0,0,0,0,1,4.64
204,4.75,0.0,69.33,100.0,10800,1,3,3,2,1,0,0,0,0,0,0,0,1,4.57
205,5.11,0.0,67.22,100.0,11700,1,3,3,2,1,0,0,0,0,0,0,0,1,4.64
206,4.72,0.0,70.1,100.0,12600,1,3,3,2,1,0,0,0,0,0,0,0,1,4.64
207,4.68,0.0,70.71,100.0,13500,1,3,3,2,1,0,0,0,0,0,0,0,1,4.68
208,4.46,0.0,71.57,100.0,14400,1,3,4,2,1,0,0,0,0,0,0,0,1,4.57
209,4.32,0.0,72.44,100.0,15300,1,3,4,2,1,0,0,0,0,0,0,0,1,4.54
210,4.46,0.0,71.87,100.0,16200,1,3,4,2,1,0,0,0,0,0,0,0,1,4.61
211,4.32,0.0,72.67,100.0,17100,1,3,4,2,1,0,0,0,0,0,0,0,1,4.57
212,4.32,0.0,72.97,100.0,18000,1,3,5,2,1,0,0,0,0,0,0,0,1,4.61
213,4.14,0.0,73.89,100.0,18900,1,3,5,2,1,0,0,0,0,0,0,0,1,4.54
214,4.21,0.0,73.55,100.0,19800,1,3,5,2,1,0,0,0,0,0,0,0,1,4.57
215,4.43,0.0,71.8,100.0,20700,1,3,5,2,1,0,0,0,0,0,0,0,1,4.57
216,4.5,0.0,71.25,100.0,21600,1,3,6,2,1,0,0,0,0,0,0,0,1,4.57
217,4.61,0.0,70.94,100.0,22500,1,3,6,2,1,0,0,0,0,0,0,0,1,4.64
218,4.36,0.0,72.35,100.0,23400,1,3,6,2,1,0,0,0,0,0,0,0,1,4.57
219,4.54,0.0,71.25,100.0,24300,1,3,6,2,1,0,0,0,0,0,0,0,1,4.61
220,4.28,0.0,72.76,100.0,25200,1,3,7,2,1,0,0,0,0,0,0,0,1,4.54
221,4.18,0.0,72.96,100.0,26100,1,3,7,2,1,0,0,0,0,0,0,0,1,4.46
222,4.25,0.0,82.14,100.0,27000,1,3,7,2,1,0,0,0,0,0,0,0,1,6.12
223,4.68,0.0,86.09,100.0,27900,1,3,7,2,1,0,0,0,0,0,0,0,1,7.92
224,4.36,0.0,91.02,100.0,28800,1,3,8,2,1,0,0,0,0,0,0,0,1,9.58
225,21.56,0.0,86.41,100.0,29700,1,3,8,2,1,0,0,0,0,0,0,0,1,37.01
226,35.86,0.0,90.13,100.0,30600,1,3,8,2,1,0,0,0,0,0,0,0,1,74.59
227,53.32,0.0,89.9,100.0,31500,1,3,8,2,1,0,0,0,0,0,0,0,1,109.48
228,31.82,0.0,95.71,100.0,32400,1,3,9,2,1,0,0,0,0,0,0,0,1,105.08
229,41.26,0.0,94.71,100.0,33300,1,3,9,2,1,0,0,0,0,0,0,0,1,121.79
230,30.24,0.0,96.68,100.0,34200,1,3,9,2,1,0,0,0,0,0,0,0,1,114.48
231,21.96,0.0,95.89,100.0,35100,1,3,9,2,1,0,0,0,0,0,0,0,1,74.2
232,7.13,0.04,99.15,100.0,36000,1,3,10,2,1,0,0,0,0,0,0,0,1,54.32
233,25.06,0.0,94.87,100.0,36900,1,3,10,2,1,0,0,0,0,0,0,0,1,75.17
234,12.24,0.0,97.85,100.0,37800,1,3,10,2,1,0,0,0,0,0,0,0,1,58.07
235,15.08,0.0,97.56,100.0,38700,1,3,10,2,1,0,0,0,0,0,0,0,1,67.03
236,31.64,0.04,92.06,100.0,39600,1,3,11,2,1,0,0,0,0,0,0,0,1,74.59
237,23.9,0.0,92.36,100.0,40500,1,3,11,2,1,0,0,0,0,0,0,0,1,57.56
238,48.06,0.0,85.32,100.0,41400,1,3,11,2,1,0,0,0,0,0,0,0,1,78.62
239,44.17,0.0,84.28,100.0,42300,1,3,11,2,1,0,0,0,0,0,0,0,1,69.16
240,44.78,0.0,85.57,100.0,43200,1,3,12,2,1,0,0,0,0,0,0,0,1,74.05
241,0.5,20.45,99.9,48.27,44100,1,3,12,2,1,0,0,0,0,0,0,0,1,11.27
242,0.0,26.21,100.0,29.89,45000,1,3,12,2,1,0,0,0,0,0,0,0,1,8.21
243,0.0,25.56,100.0,30.34,45900,1,3,12,2,1,0,0,0,0,0,0,0,1,8.14
244,0.0,25.74,100.0,28.66,46800,1,3,13,2,1,0,0,0,0,0,0,0,1,7.7
245,21.38,6.08,92.29,99.3,47700,1,3,13,2,1,0,0,0,0,0,0,0,1,51.26
246,13.64,0.0,96.81,100.0,48600,1,3,13,2,1,0,0,0,0,0,0,0,1,52.7
247,17.24,0.0,95.55,100.0,49500,1,3,13,2,1,0,0,0,0,0,0,0,1,55.84
248,17.32,0.0,95.71,100.0,50400,1,3,14,2,1,0,0,0,0,0,0,0,1,57.2
249,30.6,0.0,92.86,100.0,51300,1,3,14,2,1,0,0,0,0,0,0,0,1,76.57
250,20.45,0.0,94.83,100.0,52200,1,3,14,2,1,0,0,0,0,0,0,0,1,61.13
251,26.42,0.0,92.98,100.0,53100,1,3,14,2,1,0,0,0,0,0,0,0,1,66.74
252,16.42,0.0,95.93,100.0,54000,1,3,15,2,1,0,0,0,0,0,0,0,1,55.8
253,18.25,0.0,95.31,100.0,54900,1,3,15,2,1,0,0,0,0,0,0,0,1,57.46
254,28.08,0.0,93.04,100.0,55800,1,3,15,2,1,0,0,0,0,0,0,0,1,71.28
255,28.62,0.0,93.13,100.0,56700,1,3,15,2,1,0,0,0,0,0,0,0,1,73.15
256,25.81,0.0,93.66,100.0,57600,1,3,16,2,1,0,0,0,0,0,0,0,1,68.98
257,27.79,0.0,95.05,100.0,58500,1,3,16,2,1,0,0,0,0,0,0,0,1,85.0
258,41.9,0.0,94.1,100.0,59400,1,3,16,2,1,0,0,0,0,0,0,0,1,116.53
259,39.06,0.0,94.98,100.0,60300,1,3,16,2,1,0,0,0,0,0,0,0,1,118.62
260,35.64,0.0,94.7,100.0,61200,1,3,17,2,1,0,0,0,0,0,0,0,1,105.05
261,52.96,0.0,93.57,100.0,62100,1,3,17,2,1,0,0,0,0,0,0,0,1,140.51
262,41.15,0.0,94.06,100.0,63000,1,3,17,2,1,0,0,0,0,0,0,0,1,114.01
263,39.2,0.0,95.48,100.0,63900,1,3,17,2,1,0,0,0,0,0,0,0,1,125.96
264,13.25,1.69,98.42,99.97,64800,1,3,18,2,1,0,0,0,0,0,0,0,1,73.62
265,12.74,0.54,94.33,99.99,65700,1,3,18,2,1,0,0,0,0,0,0,0,1,36.22
266,18.43,0.0,90.75,100.0,66600,1,3,18,2,1,0,0,0,0,0,0,0,1,39.82
267,4.18,1.94,99.37,99.86,67500,1,3,18,2,1,0,0,0,0,0,0,0,1,37.08
