time_index,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,season_autumn,season_spring,season_summer,season_winter,holiday_holiday,holiday_no_holiday,functioning_day_no,functioning_day_yes,rented_bike_count
21,20,-0.3,79,1.5,1913,-3.5,0,0,0,0,0,0,1,0,1,0,1,426
22,21,-0.8,81,0.8,1687,-3.6,0,0,0,0,0,0,1,0,1,0,1,405
23,22,-0.9,83,1.5,1380,-3.4,0,0,0,0,0,0,1,0,1,0,1,398
24,23,-1.3,84,1,1265,-3.6,0,0,0,0,0,0,1,0,1,0,1,323
25,0,-1.8,87,1.1,994,-3.6,0,0,0,0,0,0,1,0,1,0,1,328
26,1,-2.2,86,0.6,990,-4.2,0,0,0,0,0,0,1,0,1,0,1,308
27,2,-2.9,86,1.5,1256,-4.9,0,0,0,0,0,0,1,0,1,0,1,262
28,3,-3.5,81,2.2,1221,-6.2,0,0,0,0,0,0,1,0,1,0,1,167
29,4,-3.8,79,2,1167,-6.9,0,0,0,0,0,0,1,0,1,0,1,89
30,5,-4,79,1.5,1202,-7.1,0,0,0,0,0,0,1,0,1,0,1,79
31,6,-4.3,82,2.1,1178,-6.9,0,0,0,0,0,0,1,0,1,0,1,70
32,7,-4.4,81,2.5,1276,-7.1,0,0,0,0,0,0,1,0,1,0,1,146
33,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,0,0,0,1,0,1,0,1,219
34,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,0,0,0,1,0,1,0,1,328
35,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,0,0,0,1,0,1,0,1,334
36,11,1.9,49,1.8,1406,-7.7,1,0,0,0,0,0,1,0,1,0,1,388
37,12,4.3,41,1.3,1666,-7.8,1.09,0,0,0,0,0,1,0,1,0,1,479
38,13,6,36,1.8,1780,-7.9,1.12,0,0,0,0,0,1,0,1,0,1,606
39,14,7.3,35,1.3,1955,-7.1,0.99,0,0,0,0,0,1,0,1,0,1,611
40,15,7.6,41,2.3,1953,-4.8,0.74,0,0,0,0,0,1,0,1,0,1,589
41,16,6.4,48,2.6,1945,-3.8,0.22,0,0,0,0,0,1,0,1,0,1,618
42,17,6,51,2.5,1891,-3.3,0.06,0,0,0,0,0,1,0,1,0,1,572
43,18,5.5,53,1.5,1697,-3.3,0,0,0,0,0,0,1,0,1,0,1,489
44,19,5,52,2.3,1666,-4,0,0,0,0,0,0,1,0,1,0,1,385
45,20,4.6,51,1.2,1585,-4.6,0,0,0,0,0,0,1,0,1,0,1,359
46,21,4.1,55,1.2,1448,-4.1,0,0,0,0,0,0,1,0,1,0,1,377
47,22,3.5,54,1.5,1446,-4.9,0,0,0,0,0,0,1,0,1,0,1,354
48,23,4,56,1,1352,-4,0,0,0,0,0,0,1,0,1,0,1,366
49,0,4,58,1.4,1296,-3.5,0,0,0,0,0,0,1,0,1,0,1,342
50,1,3.9,69,1.7,485,-1.2,0,0,0,0,0,0,1,0,1,0,1,227
51,2,3.3,79,1.4,830,0,0,0,0,0,0,0,1,0,1,0,1,228
52,3,3.4,71,1.6,1011,-1.3,0,0.5,0,0,0,0,1,0,1,0,1,117
53,4,3.5,73,1,1060,-0.8,0,0,0,0,0,0,1,0,1,0,1,76
54,5,3.9,75,1.9,914,-0.1,0,0,0,0,0,0,1,0,1,0,1,32
55,6,3.4,86,2.5,278,1.2,0,1,0,0,0,0,1,0,1,0,1,13
56,7,3.1,91,1.2,129,1.7,0,0,0,0,0,0,1,0,1,0,1,22
57,8,3.2,92,1.8,244,2,0,0,0,0,0,0,1,0,1,0,1,85
58,9,3.5,91,1.8,231,2.1,0.02,2.5,0,0,0,0,1,0,1,0,1,152
59,10,4.4,89,2.2,257,2.7,0.24,0,0,0,0,0,1,0,1,0,1,200
60,11,5.1,87,1.4,321,3.1,0.25,0,0,0,0,0,1,0,1,0,1,273
61,12,5.8,85,1.7,349,3.4,0.43,0,0,0,0,0,1,0,1,0,1,333
62,13,6.8,81,1.9,390,3.7,0.6,0,0,0,0,0,1,0,1,0,1,495
63,14,7.6,76,1.2,422,3.6,0.69,0,0,0,0,0,1,0,1,0,1,563
64,15,8,73,1.6,433,3.4,0.53,0,0,0,0,0,1,0,1,0,1,621
65,16,7.6,77,1.6,399,3.8,0.2,0,0,0,0,0,1,0,1,0,1,598
66,17,6.7,82,1.5,358,3.8,0.05,0,0,0,0,0,1,0,1,0,1,545
67,18,6,84,1.9,327,3.4,0,0,0,0,0,0,1,0,1,0,1,443
68,19,5.7,85,1.7,309,3.3,0,0,0,0,0,0,1,0,1,0,1,422
69,20,5.2,87,1.4,253,3.2,0,0,0,0,0,0,1,0,1,0,1,397
70,21,4.7,87,1.2,247,2.7,0,0,0,0,0,0,1,0,1,0,1,385
71,22,4.3,89,1.8,201,2.6,0,0,0,0,0,0,1,0,1,0,1,350
72,23,3.9,90,1.3,194,2.4,0,0,0,0,0,0,1,0,1,0,1,303
73,0,4.2,88,0.6,216,2.3,0,0,0,0,0,0,1,0,1,0,1,285
74,1,4.3,87,0.5,221,2.3,0,0,0,0,0,0,1,0,1,0,1,186
75,2,4.4,87,1.8,207,2.4,0,0,0,0,0,0,1,0,1,0,1,112
76,3,3.6,85,2.3,206,1.3,0,0,0,0,0,0,1,0,1,0,1,65
77,4,2.8,89,1.5,130,1.1,0,0,0,0,0,0,1,0,1,0,1,41
78,5,2,83,2.7,253,-0.5,0,0,0,0,0,0,1,0,1,0,1,82
79,6,1.2,76,3.7,371,-2.5,0,0.1,0,0,0,0,1,0,1,0,1,200
80,7,0.2,68,3.4,702,-5,0,0,0,0,0,0,1,0,1,0,1,498
81,8,-0.8,69,3.5,954,-5.7,0.01,0,0,0,0,0,1,0,1,0,1,937
82,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,0,0,0,1,0,1,0,1,509
83,10,-1.1,40,4.5,2000,-13,0.64,0,0,0,0,0,1,0,1,0,1,311
84,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,0,0,0,1,0,1,0,1,379
85,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,0,0,0,1,0,1,0,1,393
86,13,0,30,5.4,1938,-15.5,1.17,0,0,0,0,0,1,0,1,0,1,391
87,14,0.1,27,4.5,2000,-16.7,1.09,0,0,0,0,0,1,0,1,0,1,338
88,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,0,0,0,1,0,1,0,1,341
89,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,0,0,0,1,0,1,0,1,375
90,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,0,0,0,1,0,1,0,1,515
91,18,-2.1,29,3.9,2000,-17.7,0,0,0,0,0,0,1,0,1,0,1,807
92,19,-2.9,32,3.2,2000,-17.3,0,0,0,0,0,0,1,0,1,0,1,568
93,20,-3.6,38,3,2000,-15.8,0,0,0,0,0,0,1,0,1,0,1,398
94,21,-4.6,43,4.5,2000,-15.3,0,0,0,0,0,0,1,0,1,0,1,397
95,22,-5.3,45,2.5,2000,-15.3,0,0,0,0,0,0,1,0,1,0,1,353
96,23,-5.8,44,2.4,2000,-16.1,0,0,0,0,0,0,1,0,1,0,1,248
97,0,-6.1,42,2.6,2000,-16.9,0,0,0,0,0,0,1,0,1,0,1,216
98,1,-6.5,41,2.8,2000,-17.6,0,0,0,0,0,0,1,0,1,0,1,198
99,2,-6.8,41,2.5,2000,-17.8,0,0,0,0,0,0,1,0,1,0,1,124
100,3,-6.9,39,2,2000,-18.5,0,0,0,0,0,0,1,0,1,0,1,62
101,4,-7.2,34,3,2000,-20.4,0,0,0,0,0,0,1,0,1,0,1,42
102,5,-7.4,33,2.6,2000,-20.9,0,0,0,0,0,0,1,0,1,0,1,82
103,6,-7.4,34,3.2,2000,-20.6,0,0,0,0,0,0,1,0,1,0,1,172
104,7,-7.5,33,2.2,2000,-21,0,0,0,0,0,0,1,0,1,0,1,381
105,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,0,0,0,1,0,1,0,1,812
106,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,0,0,0,1,0,1,0,1,462
107,10,-5.5,26,2.8,1967,-22,0.64,0,0,0,0,0,1,0,1,0,1,269
108,11,-3.9,25,0,1959,-21,0,0,0,0,0,0,1,0,1,0,1,334
109,12,-2.3,25,0,1962,-19.7,0,0,0,0,0,0,1,0,1,0,1,321
110,13,-1.6,27,0,1955,-18.2,0,0,0,0,0,0,1,0,1,0,1,325
111,14,-1.1,28,0,2000,-17.3,0,0,0,0,0,0,1,0,1,0,1,334
112,15,-0.7,28,0,2000,-16.9,0,0,0,0,0,0,1,0,1,0,1,353
113,16,-0.5,30,0,2000,-16,0,0,0,0,0,0,1,0,1,0,1,435
114,17,-1.6,35,0,2000,-15.1,0,0,0,0,0,0,1,0,1,0,1,529
115,18,-2.6,40,0,2000,-14.4,0,0,0,0,0,0,1,0,1,0,1,789
116,19,-3.2,45,0,2000,-13.5,0,0,0,0,0,0,1,0,1,0,1,597
117,20,-3.5,46,0,2000,-13.4,0,0,0,0,0,0,1,0,1,0,1,418
118,21,-3.7,47,0,2000,-13.3,0,0,0,0,0,0,1,0,1,0,1,415
119,22,-2.8,49,0,2000,-12,0,0,0,0,0,0,1,0,1,0,1,393
120,23,-2.5,59,0,1210,-9.4,0,0,0,0,0,0,1,0,1,0,1,244
121,0,-2.8,77,0,331,-6.2,0,0.1,0.1,0,0,0,1,0,1,0,1,145
122,1,-3,79,0,293,-6.1,0,0,0.3,0,0,0,1,0,1,0,1,144
123,2,-3,79,0,1862,-6.1,0,0,0.4,0,0,0,1,0,1,0,1,117
124,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,0,0,0,1,0,1,0,1,78
125,4,-3.4,75,0,1982,-7.2,0,0,0.4,0,0,0,1,0,1,0,1,58
126,5,-3.6,76,0,1934,-7.2,0,0,0.4,0,0,0,1,0,1,0,1,87
127,6,-3.7,76,0,1864,-7.3,0,0,0.4,0,0,0,1,0,1,0,1,142
128,7,-4.2,77,0,1741,-7.6,0,0,0.3,0,0,0,1,0,1,0,1,379
129,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,0,0,0,1,0,1,0,1,802
130,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,0,0,0,1,0,1,0,1,440
131,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,0,0,0,1,0,1,0,1,307
132,11,1.6,57,1.2,1261,-6,0.93,0,0,0,0,0,1,0,1,0,1,381
133,12,2.4,52,0.9,1224,-6.4,1.08,0,0,0,0,0,1,0,1,0,1,405
134,13,4.2,47,1.1,1469,-6.1,1.1,0,0,0,0,0,1,0,1,0,1,442
135,14,5.5,34,1,1966,-9.1,0.96,0,0,0,0,0,1,0,1,0,1,416
136,15,5.5,31,3.1,1968,-10.3,0.72,0,0,0,0,0,1,0,1,0,1,412
137,16,5.3,37,2.9,2000,-8.2,0.36,0,0,0,0,0,1,0,1,0,1,496
138,17,4.1,60,2.5,1565,-2.9,0.1,0,0,0,0,0,1,0,1,0,1,239
139,18,1.7,90,1,66,0.2,0,0.3,0.3,0,0,0,1,0,1,0,1,204
140,19,1.2,92,0.7,180,0,0,0,1,0,0,0,1,0,1,0,1,205
141,20,1.2,94,0.6,228,0.3,0,0,1,0,0,0,1,0,1,0,1,190
142,21,1.1,92,0.5,235,0,0,0.7,1,0,0,0,1,0,1,0,1,165
143,22,1.3,92,0.6,233,0.1,0,0,1,0,0,0,1,0,1,0,1,222
144,23,1.3,92,0.6,209,0.1,0,0,1,0,0,0,1,0,1,0,1,193
145,0,1.4,92,0.5,240,0.2,0,0,0.9,0,0,0,1,0,1,0,1,198
146,1,1.5,92,0.4,227,0.3,0,0,0.9,0,0,0,1,0,1,0,1,218
147,2,1.4,92,0.7,168,0.2,0,0,0.9,0,0,0,1,0,1,0,1,149
148,3,1.9,91,1.4,218,0.5,0,0,0.9,0,0,0,1,0,1,0,1,102
149,4,1.6,92,0.7,119,0.4,0,0,0.9,0,0,0,1,0,1,0,1,62
150,5,1.5,92,1.1,175,0.3,0,0,0.9,0,0,0,1,0,1,0,1,83
151,6,1,93,0.5,148,0,0,0,0.9,0,0,0,1,0,1,0,1,137
152,7,0.3,93,0.5,173,-0.7,0,0,0.9,0,0,0,1,0,1,0,1,367
153,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,0,0,0,1,0,1,0,1,754
154,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,0,0,0,1,0,1,0,1,415
155,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,0,0,0,1,0,1,0,1,321
156,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,0,0,0,1,0,1,0,1,333
157,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,0,0,0,1,0,1,0,1,431
158,13,4.1,37,3.1,1767,-9.3,1.14,0,0,0,0,0,1,0,1,0,1,394
159,14,4.4,36,2.7,1975,-9.4,1.04,0,0,0,0,0,1,0,1,0,1,390
160,15,4,35,3.1,1962,-10.1,0.84,0,0,0,0,0,1,0,1,0,1,430
161,16,3.2,38,2.9,1817,-9.7,0.51,0,0,0,0,0,1,0,1,0,1,471
162,17,2.1,50,2,1434,-7.2,0.15,0,0,0,0,0,1,0,1,0,1,552
163,18,0.7,46,2.7,1558,-9.6,0,0,0,0,0,0,1,0,1,0,1,795
164,19,-0.4,47,2.5,1269,-10.3,0,0,0,0,0,0,1,0,1,0,1,507
165,20,-1.4,47,2.5,1620,-11.2,0,0,0,0,0,0,1,0,1,0,1,390
166,21,-2.2,46,2.2,1975,-12.2,0,0,0,0,0,0,1,0,1,0,1,402
167,22,-2.7,48,2.6,1844,-12.2,0,0,0,0,0,0,1,0,1,0,1,389
168,23,-3.2,50,2.1,1887,-12.1,0,0,0,0,0,0,1,0,1,0,1,259
169,0,-3.5,49,2.6,1893,-12.6,0,0,0,0,0,0,1,0,1,0,1,233
170,1,-3.7,50,2.5,1902,-12.6,0,0,0,0,0,0,1,0,1,0,1,230
171,2,-4.3,53,1,1918,-12.4,0,0,0,0,0,0,1,0,1,0,1,131
172,3,-4.8,52,1.6,1978,-13.1,0,0,0,0,0,0,1,0,1,0,1,99
173,4,-5.3,53,2.4,1936,-13.4,0,0,0,0,0,0,1,0,1,0,1,71
174,5,-5.8,56,2,1941,-13.1,0,0,0,0,0,0,1,0,1,0,1,84
175,6,-6,56,3.5,1853,-13.3,0,0,0,0,0,0,1,0,1,0,1,158
176,7,-6.5,57,0.8,1776,-13.6,0,0,0,0,0,0,1,0,1,0,1,387
177,8,-7,59,0.8,1559,-13.6,0.01,0,0,0,0,0,1,0,1,0,1,780
178,9,-6.7,50,0.9,1492,-15.4,0.23,0,0,0,0,0,1,0,1,0,1,395
179,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,0,0,0,1,0,1,0,1,261
180,11,-3.7,39,1.4,1595,-15.6,0.93,0,0,0,0,0,1,0,1,0,1,310
181,12,-2,30,1.4,1728,-17.3,1.14,0,0,0,0,0,1,0,1,0,1,355
182,13,-1.7,28,1.8,1963,-17.8,1.22,0,0,0,0,0,1,0,1,0,1,354
183,14,-1.3,27,3.1,1906,-17.9,1.12,0,0,0,0,0,1,0,1,0,1,350
184,15,-0.8,26,3.3,1977,-17.9,0.87,0,0,0,0,0,1,0,1,0,1,362
185,16,-1.1,24,3.4,2000,-19.1,0.56,0,0,0,0,0,1,0,1,0,1,401
186,17,-2.4,30,2.7,2000,-17.6,0.18,0,0,0,0,0,1,0,1,0,1,500
187,18,-3.1,33,1.2,2000,-17.1,0,0,0,0,0,0,1,0,1,0,1,752
188,19,-3.3,35,1.1,2000,-16.6,0,0,0,0,0,0,1,0,1,0,1,477
189,20,-3.3,34,1.5,2000,-16.9,0,0,0,0,0,0,1,0,1,0,1,384
190,21,-3.3,35,0.5,2000,-16.6,0,0,0,0,0,0,1,0,1,0,1,336
191,22,-3.4,39,1.2,2000,-15.4,0,0,0,0,0,0,1,0,1,0,1,347
192,23,-3.5,43,0.9,2000,-14.3,0,0,0,0,0,0,1,0,1,0,1,275
193,0,-3.5,48,0.9,1967,-12.9,0,0,0,0,0,0,1,0,1,0,1,267
194,1,-4.1,49,0.6,2000,-13.2,0,0,0,0,0,0,1,0,1,0,1,296
195,2,-4.7,50,0.7,1983,-13.5,0,0,0,0,0,0,1,0,1,0,1,237
196,3,-4.3,47,0.6,1992,-13.9,0,0,0,0,0,0,1,0,1,0,1,169
197,4,-4.3,49,0.7,2000,-13.4,0,0,0,0,0,0,1,0,1,0,1,96
198,5,-4.7,49,0.8,1999,-13.8,0,0,0,0,0,0,1,0,1,0,1,56
199,6,-5.1,53,0.9,1975,-13.2,0,0,0,0,0,0,1,0,1,0,1,76
200,7,-5.5,56,0.8,1950,-12.9,0,0,0,0,0,0,1,0,1,0,1,127
201,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,0,0,0,1,0,1,0,1,222
202,9,-4.7,48,1,1784,-14,0.23,0,0,0,0,0,1,0,1,0,1,291
203,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,0,0,0,1,0,1,0,1,273
204,11,0,45,1.1,1500,-10.5,0.89,0,0,0,0,0,1,0,1,0,1,351
205,12,2.4,40,0.8,1809,-9.8,1.05,0,0,0,0,0,1,0,1,0,1,427
206,13,3.9,36,2,1702,-9.8,1.13,0,0,0,0,0,1,0,1,0,1,431
207,14,4.7,32,2.2,1948,-10.6,1.06,0,0,0,0,0,1,0,1,0,1,486
208,15,5.2,30,2,1963,-11,0.84,0,0,0,0,0,1,0,1,0,1,569
209,16,4.4,33,1.6,1963,-10.5,0.4,0,0,0,0,0,1,0,1,0,1,546
210,17,3.5,37,1.8,1963,-9.8,0.1,0,0,0,0,0,1,0,1,0,1,481
211,18,2.5,41,1,1974,-9.4,0,0,0,0,0,0,1,0,1,0,1,384
212,19,1.5,48,0.4,1878,-8.3,0,0,0,0,0,0,1,0,1,0,1,275
213,20,0.8,51,1.4,1848,-8.2,0,0,0,0,0,0,1,0,1,0,1,298
214,21,-0.1,55,0.7,1654,-8,0,0,0,0,0,0,1,0,1,0,1,321
215,22,-0.5,55,0.6,1655,-8.4,0,0,0,0,0,0,1,0,1,0,1,289
216,23,-0.1,54,1.3,1570,-8.3,0,0,0,0,0,0,1,0,1,0,1,265
217,0,-0.2,55,1,1629,-8.1,0,0,0,0,0,0,1,0,1,0,1,326
218,1,-0.2,54,0.5,1747,-8.4,0,0,0,0,0,0,1,0,1,0,1,280
219,2,0.2,52,0.7,1726,-8.5,0,0,0,0,0,0,1,0,1,0,1,243
220,3,0.3,53,0.5,1748,-8.1,0,0,0,0,0,0,1,0,1,0,1,169
221,4,0.4,52,1.6,1816,-8.3,0,0,0,0,0,0,1,0,1,0,1,71
222,5,0.3,74,1,178,-3.7,0,0,0.7,0,0,0,1,0,1,0,1,13
223,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,0,0,0,1,0,1,0,1,9
224,7,-0.4,92,1.1,121,-1.5,0,0,4,0,0,0,1,0,1,0,1,20
225,8,-0.2,90,1.2,378,-1.6,0,0,4.1,0,0,0,1,0,1,0,1,35
226,9,0.2,90,1,305,-1.2,0,1.6,4.3,0,0,0,1,0,1,0,1,31
227,10,0.5,91,0.4,143,-0.8,0,0,4.3,0,0,0,1,0,1,0,1,19
228,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,0,0,0,1,0,1,0,1,58
229,12,2.3,88,0.3,245,0.5,0.28,0,3.1,0,0,0,1,0,1,0,1,119
230,13,3.3,87,1.1,230,1.3,0.54,0,2.1,0,0,0,1,0,1,0,1,182
231,14,4.2,85,0.7,325,1.8,0.65,0,1.4,0,0,0,1,0,1,0,1,235
232,15,6.7,63,4.5,715,0.1,0.35,0,1,0,0,0,1,0,1,0,1,180
233,16,5.4,71,3.5,622,0.5,0.2,0,0.5,0,0,0,1,0,1,0,1,214
234,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4,0,0,0,1,0,1,0,1,226
235,18,2,61,3,2000,-4.7,0,0,0,0,0,0,1,0,1,0,1,210
236,19,1.6,53,4,2000,-6.9,0,0,0,0,0,0,1,0,1,0,1,181
237,20,0.6,57,3.9,1954,-6.9,0,0,0,0,0,0,1,0,1,0,1,165
238,21,0,59,3,1862,-7,0,0,0,0,0,0,1,0,1,0,1,167
239,22,-1,56,4.7,2000,-8.6,0,0,0,0,0,0,1,0,1,0,1,152
240,23,-1.4,43,4.3,2000,-12.3,0,0,0,0,0,0,1,0,1,0,1,148
241,0,-2.5,39,3.4,2000,-14.5,0,0,0,0,0,0,1,0,1,0,1,125
242,1,-3.4,36,3.8,2000,-16.3,0,0,0,0,0,0,1,0,1,0,1,111
243,2,-4.2,35,3.4,2000,-17.4,0,0,0,0,0,0,1,0,1,0,1,67
244,3,-4.7,38,2.4,2000,-16.8,0,0,0,0,0,0,1,0,1,0,1,45
245,4,-5.2,35,3.2,2000,-18.3,0,0,0,0,0,0,1,0,1,0,1,44
246,5,-5.6,38,3.2,1974,-17.6,0,0,0,0,0,0,1,0,1,0,1,86
247,6,-5.9,39,2.9,1979,-17.6,0,0,0,0,0,0,1,0,1,0,1,136
248,7,-6,39,3.1,1996,-17.7,0,0,0,0,0,0,1,0,1,0,1,325
249,8,-6,38,3.6,1994,-18,0.01,0,0,0,0,0,1,0,1,0,1,653
250,9,-5.9,36,5.1,1941,-18.6,0.1,0,0,0,0,0,1,0,1,0,1,326
251,10,-5.3,32,4.5,2000,-19.4,0.62,0,0,0,0,0,1,0,1,0,1,212
252,11,-4.7,36,3.8,2000,-17.5,1,0,0,0,0,0,1,0,1,0,1,226
253,12,-5.2,33,4.6,1973,-19,1.26,0,0,0,0,0,1,0,1,0,1,247
254,13,-5.4,32,5.1,1986,-19.5,1.24,0,0,0,0,0,1,0,1,0,1,241
255,14,-5.4,31,4.1,1945,-19.9,1.13,0,0,0,0,0,1,0,1,0,1,253
256,15,-5.5,33,4.5,2000,-19.2,0.92,0,0,0,0,0,1,0,1,0,1,269
257,16,-6,40,4,2000,-17.4,0.55,0,0,0,0,0,1,0,1,0,1,277
258,17,-7.1,44,4.2,2000,-17.3,0.18,0,0,0,0,0,1,0,1,0,1,361
259,18,-7.9,43,3.3,2000,-18.3,0,0,0,0,0,0,1,0,1,0,1,557
260,19,-8.6,45,3.9,2000,-18.4,0,0,0,0,0,0,1,0,1,0,1,371
261,20,-9.3,49,3.8,2000,-18,0,0,0,0,0,0,1,0,1,0,1,254
262,21,-9.7,51,2.5,2000,-17.9,0,0,0,0,0,0,1,0,1,0,1,266
263,22,-10.2,50,3,2000,-18.6,0,0,0,0,0,0,1,0,1,0,1,222
264,23,-10.7,53,1.2,2000,-18.4,0,0,0,0,0,0,1,0,1,0,1,174
265,0,-11,51,1.1,2000,-19.1,0,0,0,0,0,0,1,0,1,0,1,133
266,1,-11.2,51,1.1,2000,-19.3,0,0,0,0,0,0,1,0,1,0,1,127
267,2,-11.5,50,0.7,2000,-19.8,0,0,0,0,0,0,1,0,1,0,1,95
268,3,-11.6,50,2.2,1995,-19.9,0,0,0,0,0,0,1,0,1,0,1,54
269,4,-11.6,47,2.1,1982,-20.6,0,0,0,0,0,0,1,0,1,0,1,46
270,5,-11.6,45,2.8,1951,-21.1,0,0,0,0,0,0,1,0,1,0,1,65
271,6,-11.8,47,2.5,1973,-20.8,0,0,0,0,0,0,1,0,1,0,1,104
272,7,-12.1,50,2.3,1929,-20.4,0,0,0,0,0,0,1,0,1,0,1,280
273,8,-12.3,52,1.3,1914,-20.1,0,0,0,0,0,0,1,0,1,0,1,580
274,9,-11.8,46,2.9,1956,-21.1,0.1,0,0,0,0,0,1,0,1,0,1,275
275,10,-10.5,45,3.3,1855,-20.1,0.6,0,0,0,0,0,1,0,1,0,1,184
276,11,-9.4,42,3.1,1815,-19.9,0.93,0,0,0,0,0,1,0,1,0,1,201
277,12,-8.3,35,2.9,1967,-21,1.14,0,0,0,0,0,1,0,1,0,1,228
278,13,-6.9,37,2.4,1955,-19.1,1.22,0,0,0,0,0,1,0,1,0,1,225
279,14,-5.4,32,2,1930,-19.5,1.12,0,0,0,0,0,1,0,1,0,1,258
280,15,-5.8,30,2.8,2000,-20.6,0.92,0,0,0,0,0,1,0,1,0,1,250
281,16,-6,29,2.8,1983,-21.2,0.58,0,0,0,0,0,1,0,1,0,1,248
282,17,-7,32,2.6,2000,-20.9,0.19,0,0,0,0,0,1,0,1,0,1,305
283,18,-7.7,36,1,2000,-20.2,0,0,0,0,0,0,1,0,1,0,1,529
284,19,-8.2,43,1.1,2000,-18.5,0,0,0,0,0,0,1,0,1,0,1,350
285,20,-8.4,42,1,2000,-19,0,0,0,0,0,0,1,0,1,0,1,260
286,21,-8.8,43,1.4,1999,-19.1,0,0,0,0,0,0,1,0,1,0,1,270
287,22,-9,45,1.3,1999,-18.7,0,0,0,0,0,0,1,0,1,0,1,256
288,23,-9.3,47,2.1,2000,-18.5,0,0,0,0,0,0,1,0,1,0,1,173
289,0,-9.5,48,1.3,1996,-18.4,0,0,0,0,0,0,1,0,1,0,1,168
290,1,-10.2,52,1.6,1997,-18.2,0,0,0,0,0,0,1,0,1,0,1,183
291,2,-10.4,53,1.8,1949,-18.1,0,0,0,0,0,0,1,0,1,0,1,120
292,3,-10.9,55,1.8,1913,-18.1,0,0,0,0,0,0,1,0,1,0,1,79
293,4,-11.4,58,1.3,1907,-18,0,0,0,0,0,0,1,0,1,0,1,41
294,5,-11.5,58,1.1,1923,-18.1,0,0,0,0,0,0,1,0,1,0,1,68
295,6,-11.9,57,1.1,1974,-18.7,0,0,0,0,0,0,1,0,1,0,1,109
296,7,-11.7,53,1.6,1998,-19.3,0,0,0,0,0,0,1,0,1,0,1,310
